id,trial,AgeGroup,AgeGroup_Split,age_yr,age_mo,age_mo_center,n_attempts_color,n_attempts_head,n_attempts_legs,trial_index,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_standard,question_program,question_abstracted_idealized,EIG,entropy,notes,n_operations,n_unique_operations,same_as_last,sim_to_last_standard,prev_trial_indices_reuse,prev_trial_indices_remixing
1,1,Adults,Adults,NA,NA,NA,3,2,3,1,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Do all the monsters have three legs?,Do all the monsters have three legs?,(all (map (lambda x0 (== (legs x0) 3)) (set b r p))),(all (map (lambda x0 (== (legs x0) n)) (set b r p))),0.9182958340544896,1.584962500721156,NA,5,5,NA,NA,NA,NA
1,2,Adults,Adults,NA,NA,NA,3,2,3,2,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Is the purple monster the only one with a square head?,"Does the red monster have a circle head, the blue monster have a circle head, and the purple monster have a square head?",(and (and (== (shape r) Circle) (== (shape b) Circle)) (== (shape p) Square)),(and (and (== (shape c) s) (== (shape c) s)) (== (shape c) s)),0.8112781244591328,2,NA,8,3,0,0.5760593414306641,1,1
1,3,Adults,Adults,NA,NA,NA,3,2,3,3,r_sq_0,p_0_2,b_0_2,1,-1,-1,2,-1,2,Do all monsters have the same legs and head?,Do all the monsters have the same number of legs and the same head shape?,(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),0.4138168503036336,3.584962500721156,NA,9,6,0,0.8239492177963257,"1,2","1,2"
1,4,Adults,Adults,NA,NA,NA,3,2,3,4,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Do all the monsters have the same amount of legs?,Do all the monsters have the same number of legs?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),0.5032583347756459,5.75488750216347,NA,4,4,0,0.9222708344459534,"1,2,3","1,2,3"
2,1,Adults,Adults,NA,NA,NA,3,2,3,5,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,What shape is the red monster's head?,What shape is the red monster's head?,(shape r),(shape c),1.0000000000000009,6.754887502163456,NA,1,1,NA,NA,NA,NA
2,2,Adults,Adults,NA,NA,NA,3,2,3,6,b_0_1,r_0_2,p_0_2,-1,2,-1,1,-1,2,How many monsters in the box have a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.811278124459133,3,NA,5,5,0,0.7074099779129028,5,5
2,3,Adults,Adults,NA,NA,NA,3,2,3,7,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters in the box have a round head?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),1.811278124459133,6.1699250014423175,NA,5,5,1,0.6957434415817261,"5,6",5
2,4,Adults,Adults,NA,NA,NA,3,2,3,8,p_sq_0,r_sq_0,b_cir_0,1,-1,2,-1,1,-1,How many monsters in the box have three legs?,How many monsters have three legs?,(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),1.6982458350160314,4.754887502163473,NA,5,5,0,0.7185001969337463,"5,6,7","5,6,7"
3,1,Adults,Adults,NA,NA,NA,3,2,3,9,b_sq_3,r_cir_0,p_0_0,2,-1,1,3,-1,-1,what is the total amount of legs possessed by monsters with circle heads?,How many legs do all the circle-headed monsters have combined together?,(++ (map (lambda x0 (legs x0)) (shapeObjects Circle))),(++ (map (lambda x0 (legs x0)) (shapeObjects s))),2.4410685859554375,4.169925001442313,NA,4,4,NA,NA,NA,NA
3,2,Adults,Adults,NA,NA,NA,3,2,3,10,p_sq_2,b_cir_1,r_0_0,-1,-1,2,1,1,2,what is the sum of (number of perimeter edges of the red monster's head) + (the number of legs the red monster has)?,NA,NA,NA,NA,2.584962500721156,not in grammar,NA,NA,NA,NA,NA,NA
