id,trial,AgeGroup,AgeGroup_Split,age_yr,age_mo,age_mo_center,question_cond,quality_cond,exposure_cond,n_attempts_color,n_attempts_head,n_attempts_legs,exp_answer_response,exp_answer_correct,trial_index,trial_type,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_standard,question_program,question_abstracted_idealized,notes,EIG,entropy,match_head,match_legs,target_match,target_sim_standard,target_dist,same_as_last,sim_to_last_standard,dist_to_last,prev_trial_indices_reuse,prev_trial_indices_remixing
1,1,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,are there two square heads?,Are there two monsters with square heads?,(== (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) 2),(== (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) n),NA,1,1,0,0,0,0.8847916126251221,2,NA,NA,NA,NA,NA
1,2,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,are all the heads circle?,Do all the monsters have a circle head?,(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(all (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.9999999999999994,5.75488750216347,0,0,0,0.7609058618545532,1,0,0.7227782011032104,3,overcomplex_heads,overcomplex_heads
1,3,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,do they all have one leg?,Do all the monsters have one leg?,(all (map (lambda x0 (== (legs x0) 1)) (set b r p))),(all (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,0.5032583347756454,3.169925001442312,0,0,0,0.6173698902130127,3,0,0.6219857931137085,2,"overcomplex_heads,nonbest_heads","overcomplex_heads,nonbest_heads"
1,4,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,do they all have the same shape head?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591336,6.1699250014423175,0,0,0,0.7841249704360962,3,0,0.8446071147918701,3,"overcomplex_heads,nonbest_heads,zero_heads","overcomplex_heads,nonbest_heads,zero_heads"
5,1,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,6.754887502163456,0,0,0,0.7946264743804932,9,NA,NA,NA,NA,NA
5,2,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do at least 2 of the monsters have a square head?,Is there more than one monster with a square head?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) 1),(> (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) n),NA,0.9999999999999998,4.584962500721156,0,0,0,0.6343477964401245,5,0,0.5911850929260254,13,best_legs,best_legs
5,3,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Are the other heads square?,Do the red monster and the blue monster both have a square head?,(and (== (shape r) Square) (== (shape b) Square)),(and (== (shape c) s) (== (shape c) s)),NA,0.8112781244591328,2,0,0,0,0.5612143278121948,11,0,0.8406784534454346,8,"best_legs,nonbest_legs","best_legs,nonbest_legs"
5,4,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,how many legs does the purple one have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,1,0.5911850929260254,8,"best_legs,nonbest_legs,zero_legs","nonbest_legs,zero_legs"
6,1,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,0,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red one have a square head?,Does the red monster have a square head?,(== (shape r) Square),(== (shape c) s),NA,1,1,0,0,0,0.806182861328125,9,NA,NA,NA,NA,NA
6,2,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,0,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Do any of them have more than 1 leg?,Do any of the monsters have more than one leg?,(any (map (lambda x0 (> (legs x0) 1)) (set b r p))),(any (map (lambda x0 (> (legs x0) n)) (set b r p))),NA,0.5032583347756454,3.169925001442312,0,0,0,0.6192061901092529,4,0,0.5511674880981445,12,overcomplex_heads,overcomplex_heads
