id,trial,AgeGroup,age_yr,age_mo,question_cond,quality_cond,exposure_cond,n_attempts_color,n_attempts_head,n_attempts_legs,exp_answer_response,exp_answer_correct,trial_index,trial_type,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_program,question_abstracted_idealized,notes,EIG,entropy,question_standard
1,1,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,are there two square heads?,(== (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) 2),(== (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) n),NA,1,1,Are there two monsters with square heads?
1,2,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,are all the heads circle?,(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(all (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.9999999999999994,5.75488750216347,Do all the monsters have a circle head?
1,3,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,do they all have one leg?,(all (map (lambda x0 (== (legs x0) 1)) (set b r p))),(all (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,0.5032583347756454,3.169925001442312,Do all the monsters have one leg?
1,4,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,do they all have the same shape head?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591336,6.1699250014423175,Do all the monsters have the same head shape?
5,1,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,6.754887502163456,How many legs does the purple monster have?
5,2,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do at least 2 of the monsters have a square head?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) 1),(> (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) n),NA,0.9999999999999998,4.584962500721156,Is there more than one monster with a square head?
5,3,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Are the other heads square?,(and (== (shape r) Square) (== (shape b) Square)),(and (== (shape c) s) (== (shape c) s)),NA,0.8112781244591328,2,Do the red monster and the blue monster both have a square head?
5,4,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,how many legs does the purple one have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
6,1,Adults,NA,NA,heads,good,exposure,3,2,3,0,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red one have a square head?,(== (shape r) Square),(== (shape c) s),NA,1,1,Does the red monster have a square head?
6,2,Adults,NA,NA,heads,good,exposure,3,2,3,0,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Do any of them have more than 1 leg?,(any (map (lambda x0 (> (legs x0) 1)) (set b r p))),(any (map (lambda x0 (> (legs x0) n)) (set b r p))),NA,0.5032583347756454,3.169925001442312,Do any of the monsters have more than one leg?
6,3,Adults,NA,NA,heads,good,exposure,3,2,3,0,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Do any of them have more than one leg?,(any (map (lambda x0 (> (legs x0) 1)) (set b r p))),(any (map (lambda x0 (> (legs x0) n)) (set b r p))),NA,0.22853814395352814,5.75488750216347,Do any of the monsters have more than one leg?
6,4,Adults,NA,NA,heads,good,exposure,3,2,3,0,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many have square heads?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,How many monsters have a square head?
7,1,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs do the monsters have combined?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,How many legs do all the monsters have combined together?
7,2,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,How many monsters have a circle head?
7,3,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Which monsters have a circle head?,NA,NA,invalid,NA,2,NA
7,4,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many feet does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
8,1,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs total are in the box?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,How many legs do all the monsters have combined together?
8,2,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many square heads are in the box?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,How many monsters have a square head?
8,3,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Are the monsters with two legs the only ones with square heads?,(and (== (shape b) Square) (not (== (shape r) Square))),(and (== (shape c) s) (not (== (shape c) s))),rewrite,0.8112781244591328,2,Does the blue monster have a square head and the red monster not have a square head?
8,4,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many circle heads are in the box?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.4999999999999998,6.754887502163456,How many monsters have a circle head?
9,1,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Do any monsters have a square head?,(any (map (lambda x0 (== (shape x0) Square)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.8112781244591324,6.754887502163456,Do any of the monsters have a square head?
9,2,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Is the number of legs of all the monsters an even number?,NA,NA,well-defined but not in grammar,NA,4.584962500721156,NA
9,3,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
9,4,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many circle heads are there?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,How many monsters have a circle head?
11,1,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a square head?,(== (shape r) Square),(== (shape c) s),NA,1,1,Does the red monster have a square head?
11,2,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many total legs are in the box?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,6.1699250014423175,How many legs do all the monsters have combined together?
11,3,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many total legs are in the box?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,3.169925001442312,How many legs do all the monsters have combined together?
11,4,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Do all of the monsters have round heads?,(all (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(all (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.9999999999999994,5.75488750216347,Do all the monsters have a circle head?
12,1,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,how many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
12,2,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,do all of the monsters have the same shaped head?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591322,4.584962500721156,Do all the monsters have the same head shape?
12,3,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,does the red monster have a circle head?,(== (shape r) Circle),(== (shape c) s),NA,1,2,Does the red monster have a circle head?
12,4,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,how many legs do the monsters have combined?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,How many legs do all the monsters have combined together?
13,1,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple one have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
13,2,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many of them have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,How many monsters have a square head?
13,3,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many of the guys have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160305,6.754887502163456,How many monsters have two legs?
13,4,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do all of the guys have matching heads?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591328,2,Do all the monsters have the same head shape?
15,1,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Does the purple monster have three legs?,(== (legs p) 3),(== (legs c) n),NA,0.9182958340544896,1.584962500721156,Does the purple monster have three legs?
15,2,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,What is the total number of monsters with a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,How many monsters have a square head?
15,3,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,What is the total number of legs for the three monsters combined?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,How many legs do all the monsters have combined together?
15,4,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,What is the shape of most of the monsters head in the box?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(> (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) (++ (map (lambda x0 (== (shape x0) s)) (set b r p)))),rewrite,0.9999999999999998,4.584962500721156,Are there more monsters with square heads or circle heads?
16,1,Adults,NA,NA,heads,bad,exposure,3,2,3,3,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Head shape,NA,NA,invalid,NA,1,NA
16,2,Adults,NA,NA,heads,bad,exposure,3,2,3,3,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Leg number,NA,NA,invalid,NA,5.75488750216347,NA
16,3,Adults,NA,NA,heads,bad,exposure,3,2,3,3,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,head shape,NA,NA,invalid,NA,6.1699250014423175,NA
16,4,Adults,NA,NA,heads,bad,exposure,3,2,3,3,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,leg number,NA,NA,invalid,NA,3.169925001442312,NA
17,1,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many legs do the monsters have combined?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,4.584962500721156,How many legs do all the monsters have combined together?
17,2,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does purple have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
17,3,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,what are the shapes of the red monsters head?,(shape r),(shape c),NA,1.0000000000000007,6.754887502163456,What shape is the red monster's head?
17,4,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Are the monsters head shaped square?,NA,NA,ambiguous,NA,2,NA
18,1,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many of the monsters have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160314,5.75488750216347,How many monsters have two legs?
18,2,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape is the red monster's head?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
