id,attn1,attn2,practice_sim_1,practice_sim_2,practice_sim_3,practice_sim_4,pair,rating_num,order,q1,q2,q1_program,q2_program,q1_standard,q2_standard,similarity
1,1,1,3,4,4,4,7,1,12,Do most of the monsters in the box have square or round heads?,Does the blue monster have a square head?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(== (shape b) Square),Are there more monsters with square heads or circle heads?,Does the blue monster have a square head?,5
1,1,1,3,4,4,4,93,2,12,How many monsters have one leg?,How many square heads are there in all?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many monsters have one leg?,How many monsters have a square head?,2
1,1,1,3,4,4,4,81,3,12,Does the purple monster have three legs?,Does the red monster have a square head and three legs?,(== (legs p) 3),(and (== (legs r) 3) (== (shape r) Square)),Does the purple monster have three legs?,Does the red monster have three legs and a square head?,4
1,1,1,3,4,4,4,30,4,21,How many legs does the blue monster have?,Does the purple monster have less than three legs?,(legs b),(< (legs p) 3),How many legs does the blue monster have?,Does the purple monster have less than three legs?,4
1,1,1,3,4,4,4,65,5,21,How many monsters have a circle head?,How many legs does the purple monster have?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(legs p),How many monsters have a circle head?,How many legs does the purple monster have?,2
1,1,1,3,4,4,4,21,6,12,How many legs are there total?,How many monsters have a square head?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many legs do all the monsters have combined together?,How many monsters have a square head?,2
1,1,1,3,4,4,4,1,7,21,How many legs does purple have?,How many monsters have one foots?,(legs p),(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),How many legs does the purple monster have?,How many monsters have one leg?,3
1,1,1,3,4,4,4,98,8,21,How many monsters have a circle head with more than one leg?,Does the red monster have three legs?,(++ (map (lambda x0 (and (> (legs x0) 1) (== (shape x0) Circle))) (set b r p))),(== (legs r) 3),How many monsters have more than one leg and a circle head?,Does the red monster have three legs?,3
1,1,1,3,4,4,4,44,9,21,How many legs does the blue one have?,How many legs does the blue monster have?,(legs b),(legs b),How many legs does the blue monster have?,How many legs does the blue monster have?,6
1,1,1,3,4,4,4,43,10,12,What shape is the purple monsters head?,Which shape is the blue monster's head?,(shape p),(shape b),What shape is the purple monster's head?,What shape is the blue monster's head?,6
1,1,1,3,4,4,4,31,11,21,How many monsters have a square head?,What kind of head does the purple monster have?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(shape p),How many monsters have a square head?,What shape is the purple monster's head?,4
1,1,1,3,4,4,4,25,12,21,Are the heads and legs all the same?,How many legs does the purple monster have?,(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),(legs p),Do all the monsters have the same number of legs and the same head shape?,How many legs does the purple monster have?,2
1,1,1,3,4,4,4,64,13,21,How many monsters have one leg?,How many monsters in the box have a round head?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),How many monsters have one leg?,How many monsters have a circle head?,2
1,1,1,3,4,4,4,23,14,21,Does the blue and red monster have the same head as the purple?,How many circle headed monsters are there?,(=== (map (lambda x0 (shape x0)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do all the monsters have the same head shape?,How many monsters have a circle head?,2
1,1,1,3,4,4,4,38,15,21,What kind of head does the purple monster have?,Do any of the monsters have two legs?,(shape p),(any (map (lambda x0 (== (legs x0) 2)) (set b r p))),What shape is the purple monster's head?,Do any of the monsters have two legs?,1
2,1,1,1,1,4,4,13,1,12,How many legs does the blue monster have?,What are the shapes of the red monsters head?,(legs b),(shape r),How many legs does the blue monster have?,What shape is the red monster's head?,1
2,1,1,1,1,4,4,8,2,12,How many legs does the blue monster have?,How many monsters have a square head?,(legs b),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many legs does the blue monster have?,How many monsters have a square head?,1
2,1,1,1,1,4,4,63,3,12,How many square heads are there?,Does the purple monster have three legs?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(== (legs p) 3),How many monsters have a square head?,Does the purple monster have three legs?,1
2,1,1,1,1,4,4,26,4,12,How much legs does the red monster have?,Are any of their heads a circle?,(legs r),(any (map (lambda x0 (== (shape x0) Circle)) (set b r p))),How many legs does the red monster have?,Do any of the monsters have a circle head?,1
2,1,1,1,1,4,4,79,5,21,How many square heads are there?,Does the red monster have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(== (shape r) Square),How many monsters have a square head?,Does the red monster have a square head?,4
2,1,1,1,1,4,4,83,6,12,How many monsters have two legs?,Are the red and purple the same head shape?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(== (shape r) (shape p)),How many monsters have two legs?,Is the red monster's head the same shape as the purple monster's head?,1
2,1,1,1,1,4,4,51,7,12,What is the shape of the red monster's head?,Does the purple monster have the same legs and head as the red monster?,(shape r),(and (== (legs p) (legs r)) (== (shape p) (shape r))),What shape is the red monster's head?,Does the purple monster have the same number of legs and head shape as the red monster?,2
2,1,1,1,1,4,4,73,8,12,Does the red monster have the same head as the purple monster?,How many monsters have one leg?,(== (shape r) (shape p)),(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),Is the red monster's head the same shape as the purple monster's head?,How many monsters have one leg?,1
