id,attn1,attn2,practice_sim_1,practice_sim_2,practice_sim_3,practice_sim_4,pair,rating_num,order,q1,q2,q1_program,q2_program,q1_standard,q2_standard,similarity,dist_tree,sim_text,sim_text_standard,intersecting_functions12,intersecting_functions21,intersecting_arguments12,intersecting_arguments21,intersecting_all12,intersecting_all21
1,1,1,3,4,4,4,7,1,12,Do most of the monsters in the box have square or round heads?,Does the blue monster have a square head?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(== (shape b) Square),Are there more monsters with square heads or circle heads?,Does the blue monster have a square head?,5,22,0.733221173286438,0.7524884939193726,1,0.3333333333333333,1,0.4,1,0.36363636363636365
1,1,1,3,4,4,4,93,2,12,How many monsters have one leg?,How many square heads are there in all?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many monsters have one leg?,How many monsters have a square head?,2,2,0.37608736753463745,0.6963624954223633,0.8,0.8,0.75,0.75,0.7777777777777778,0.7777777777777778
1,1,1,3,4,4,4,81,3,12,Does the purple monster have three legs?,Does the red monster have a square head and three legs?,(== (legs p) 3),(and (== (legs r) 3) (== (shape r) Square)),Does the purple monster have three legs?,Does the red monster have three legs and a square head?,4,5,0.8264407515525818,0.8383734226226807,0.5,1,0.3333333333333333,0.5,0.42857142857142855,0.75
1,1,1,3,4,4,4,30,4,21,How many legs does the blue monster have?,Does the purple monster have less than three legs?,(legs b),(< (legs p) 3),How many legs does the blue monster have?,Does the purple monster have less than three legs?,4,2,0.8265516757965088,0.8265516757965088,0.5,1,0,0,0.25,0.5
1,1,1,3,4,4,4,65,5,21,How many monsters have a circle head?,How many legs does the purple monster have?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(legs p),How many monsters have a circle head?,How many legs does the purple monster have?,2,11,0.6032723188400269,0.6032723188400269,0,0,1,0.25,0.5,0.1111111111111111
1,1,1,3,4,4,4,21,6,12,How many legs are there total?,How many monsters have a square head?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),How many legs do all the monsters have combined together?,How many monsters have a square head?,2,3,0.363623708486557,0.6724658012390137,0.6,0.75,0.75,1,0.6666666666666666,0.8571428571428571
1,1,1,3,4,4,4,1,7,21,How many legs does purple have?,How many monsters have one foots?,(legs p),(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),How many legs does the purple monster have?,How many monsters have one leg?,3,11,0.5326904058456421,0.8165104389190674,0.2,1,0.25,1,0.2222222222222222,1
1,1,1,3,4,4,4,98,8,21,How many monsters have a circle head with more than one leg?,Does the red monster have three legs?,(++ (map (lambda x0 (and (> (legs x0) 1) (== (shape x0) Circle))) (set b r p))),(== (legs r) 3),How many monsters have more than one leg and a circle head?,Does the red monster have three legs?,3,15,0.7038872241973877,0.7188488841056824,1,0.25,0.5,0.2,0.75,0.23076923076923078
1,1,1,3,4,4,4,44,9,21,How many legs does the blue one have?,How many legs does the blue monster have?,(legs b),(legs b),How many legs does the blue monster have?,How many legs does the blue monster have?,6,0,0.8491014838218689,1,1,1,1,1,1,1
1,1,1,3,4,4,4,43,10,12,What shape is the purple monsters head?,Which shape is the blue monster's head?,(shape p),(shape b),What shape is the purple monster's head?,What shape is the blue monster's head?,6,0,0.8560779094696045,0.8917962312698364,1,1,0,0,0.5,0.5
1,1,1,3,4,4,4,31,11,21,How many monsters have a square head?,What kind of head does the purple monster have?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(shape p),How many monsters have a square head?,What shape is the purple monster's head?,4,11,0.6901223659515381,0.7084317803382874,1,0.2,1,0.25,1,0.2222222222222222
1,1,1,3,4,4,4,25,12,21,Are the heads and legs all the same?,How many legs does the purple monster have?,(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),(legs p),Do all the monsters have the same number of legs and the same head shape?,How many legs does the purple monster have?,2,20,0.4221445322036743,0.673107385635376,1,0.16666666666666666,1,0.3333333333333333,1,0.2222222222222222
1,1,1,3,4,4,4,64,13,21,How many monsters have one leg?,How many monsters in the box have a round head?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),How many monsters have one leg?,How many monsters have a circle head?,2,2,0.6463034152984619,0.6764651536941528,0.8,0.8,0.75,0.75,0.7777777777777778,0.7777777777777778
1,1,1,3,4,4,4,23,14,21,Does the blue and red monster have the same head as the purple?,How many circle headed monsters are there?,(=== (map (lambda x0 (shape x0)) (set b r p))),(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),Do all the monsters have the same head shape?,How many monsters have a circle head?,2,3,0.5179398059844971,0.7607579231262207,0.6,0.75,0.75,1,0.6666666666666666,0.8571428571428571
1,1,1,3,4,4,4,38,15,21,What kind of head does the purple monster have?,Do any of the monsters have two legs?,(shape p),(any (map (lambda x0 (== (legs x0) 2)) (set b r p))),What shape is the purple monster's head?,Do any of the monsters have two legs?,1,11,0.5177668929100037,0.5296922922134399,0,0,0.25,1,0.1111111111111111,0.5
2,1,1,1,1,4,4,13,1,12,How many legs does the blue monster have?,What are the shapes of the red monsters head?,(legs b),(shape r),How many legs does the blue monster have?,What shape is the red monster's head?,1,1,0.5348821878433228,0.5853571891784668,0,0,0,0,0,0
